#
# Master author manifest for bash
#
# The files in lib/intl were taken from the GNU gettext distribution.
#
# Any files appearing in the bash distribution not listed in this file
# were created by Chet Ramey.
#
# Filename	authors (first is original author)
#
README		Brian Fox, Chet Ramey
INSTALL		Brian Fox, Chet Ramey
COPYING		Brian Fox, Chet Ramey
MANIFEST	Brian Fox, Chet Ramey
configure	Chet Ramey
Makefile.in	Brian Fox, Chet Ramey
configure.in	Chet Ramey
aclocal.m4	Chet Ramey
config.h.top	Chet Ramey
config.h.bot	Chet Ramey
config.h.in	Chet Ramey
array.c		Chet Ramey
print_cmd.c	Brian Fox, Chet Ramey
general.c	Brian Fox, Chet Ramey
variables.c	Brian Fox, Chet Ramey
make_cmd.c	Brian Fox, Chet Ramey
copy_cmd.c	Brian Fox, Chet Ramey
unwind_prot.c	Brian Fox, Chet Ramey
dispose_cmd.c	Brian Fox, Chet Ramey
getcwd.c	Roland McGrath, Brian Fox, Chet Ramey
bashhist.c	Chet Ramey
hash.c		Brian Fox, Chet Ramey
parse.y		Brian Fox, Chet Ramey
subst.c		Brian Fox, Chet Ramey
shell.c		Brian Fox, Chet Ramey
sig.c		Chet Ramey
trap.c		Brian Fox, Chet Ramey
siglist.c	Brian Fox, Chet Ramey
version.c	Brian Fox, Chet Ramey
flags.c		Brian Fox, Chet Ramey
jobs.c		Brian Fox, Chet Ramey
input.c		Chet Ramey
mailcheck.c	Brian Fox, Chet Ramey
pathexp.c	Chet Ramey
test.c		Brian Fox, Chet Ramey
expr.c		Chet Ramey, Brian Fox
alias.c		Brian Fox, Chet Ramey
execute_cmd.c	Brian Fox, Chet Ramey
bashline.c	Brian Fox, Chet Ramey
braces.c	Brian Fox, Chet Ramey
bracecomp.c	Brian Fox, Chet Ramey, Tom Tromey
nojobs.c	Brian Fox, Chet Ramey
vprint.c	Chet Ramey
oslib.c		Chet Ramey
error.c		Brian Fox, Chet Ramey
xmalloc.c	Brian Fox, Chet Ramey
alias.h		Brian Fox, Chet Ramey
array.h		Chet Ramey
builtins.h	Brian Fox, Chet Ramey
parser.h	Brian Fox, Chet Ramey
variables.h	Brian Fox, Chet Ramey
machines.h	Brian Fox, Chet Ramey
jobs.h		Brian Fox, Chet Ramey
maxpath.h	Brian Fox, Chet Ramey
pathexp.h	Chet Ramey
mailcheck.h	Chet Ramey
filecntl.h	Brian Fox, Chet Ramey
hash.h		Brian Fox, Chet Ramey
quit.h		Brian Fox, Chet Ramey
flags.h		Brian Fox, Chet Ramey
shell.h		Brian Fox, Chet Ramey
bashjmp.h	Chet Ramey
sig.h		Chet Ramey
trap.h		Brian Fox, Chet Ramey
general.h	Brian Fox, Chet Ramey
unwind_prot.h	Brian Fox, Chet Ramey
input.h		Brian Fox, Chet Ramey
error.h		Brian Fox, Chet Ramey
command.h	Brian Fox, Chet Ramey
externs.h	Chet Ramey
siglist.h	Chet Ramey
subst.h		Brian Fox, Chet Ramey
dispose_cmd.h	Brian Fox, Chet Ramey
bashansi.h	Brian Fox, Chet Ramey
make_cmd.h	Brian Fox, Chet Ramey
bashhist.h	Chet Ramey
bashline.h	Chet Ramey
execute_cmd.h	Chet Ramey
bashtypes.h	Chet Ramey
bashtty.h	Chet Ramey
pathnames.h	Chet Ramey
